stable_gene_id,KO_E12_FCL_1,KO_E12_FCL_2,KO_E12_FCL_3,S200A_3_FCL_1,S200A_3_FCL_2,S200A_3_FCL_3,S200A_5_FCL_1,S200A_5_FCL_2,S200WT_1_FCL_1,S200WT_1_FCL_2,S200WT_2_FCL_3
ENSMUSG00000000730,1951,1701,1468,1216,1613,1794,1221,669,99,244,1117
ENSMUSG00000000731,3,3,0,2,6,7,7,7,0,0,10
ENSMUSG00000000732,44,42,40,31,35,24,53,20,10,17,81
ENSMUSG00000000738,648,428,454,581,819,560,1111,480,32,77,703
ENSMUSG00000000739,2,2,3,4,5,4,20,3,3,5,22
ENSMUSG00000000740,39941,31622,30444,27448,46070,38040,51101,24768,1224,3768,28224
ENSMUSG00000000743,1085,1184,928,1200,1441,1135,2400,454,113,295,1248
ENSMUSG00000000751,892,803,616,738,1123,1140,1236,749,26,93,710
ENSMUSG00000000753,2,4,5,0,0,2,5,3,0,0,0
ENSMUSG00000000759,451,279,314,98,320,352,350,277,4,10,227
ENSMUSG00000000766,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000776,992,888,906,948,1409,924,1678,590,49,172,1168
ENSMUSG00000000782,63,59,35,16,36,73,37,66,1,0,38
ENSMUSG00000000787,5489,4005,3901,4166,6600,5351,7022,3543,258,602,4745
ENSMUSG00000000791,6,14,9,5,7,10,8,7,2,0,33
ENSMUSG00000000792,13,8,9,9,8,22,9,8,1,2,20
ENSMUSG00000000794,0,0,0,0,2,2,2,0,0,0,1
ENSMUSG00000000804,142,118,114,93,119,140,169,86,9,22,153
ENSMUSG00000000805,0,0,1,0,0,0,2,0,0,0,0
ENSMUSG00000000811,417,293,305,289,431,292,542,296,26,66,376
ENSMUSG00000000817,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000823,190,170,122,224,250,302,443,178,37,38,292
ENSMUSG00000000826,789,670,640,940,1331,979,1482,624,60,199,1383
ENSMUSG00000000827,542,421,460,451,736,645,622,439,30,41,363
ENSMUSG00000000838,404,374,313,314,549,592,493,396,7,35,269
ENSMUSG00000000861,3,4,3,1,5,4,10,4,0,0,0
ENSMUSG00000000869,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000876,158,147,121,145,229,198,308,129,14,24,303
ENSMUSG00000000881,137,119,81,115,199,170,353,167,3,21,224
ENSMUSG00000000884,77,59,66,88,104,87,118,60,1,11,58
ENSMUSG00000000889,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,78,47,60,48,119,125,119,96,4,3,55
ENSMUSG00000000902,1086,930,776,915,1351,1265,1476,756,20,99,809
ENSMUSG00000000903,6,5,2,2,6,3,9,4,0,2,6
ENSMUSG00000000915,58,39,25,58,49,47,96,41,13,18,137
ENSMUSG00000000916,288,245,224,182,310,302,378,161,9,26,144
ENSMUSG00000000934,21,16,35,14,18,36,38,15,0,5,34
ENSMUSG00000000938,0,0,0,0,2,0,6,2,0,0,0
ENSMUSG00000000942,1,0,0,0,0,1,2,1,0,0,1
ENSMUSG00000000948,9,9,4,8,21,13,13,4,0,0,4
ENSMUSG00000000957,191,163,144,70,169,171,195,154,3,17,177
ENSMUSG00000000958,355,234,186,135,247,297,420,257,11,45,305
ENSMUSG00000000959,615,384,425,372,852,682,678,386,2,35,283
ENSMUSG00000000976,336,290,259,276,436,298,514,234,18,36,263
ENSMUSG00000000982,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000983,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001014,20,14,11,10,27,14,21,7,0,3,25
ENSMUSG00000001016,874,950,743,544,1020,1208,1304,671,54,107,533
ENSMUSG00000001017,1809,1594,1203,979,1979,2049,1907,1327,48,115,1165
ENSMUSG00000001018,163,164,114,98,168,239,182,140,4,13,146
ENSMUSG00000001020,3,5,5,2,4,4,3,0,0,0,0
ENSMUSG00000001021,1,1,1,0,5,3,0,0,0,0,3
ENSMUSG00000001023,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001025,1601,1560,1085,796,1702,2030,852,589,100,223,2025
ENSMUSG00000001027,0,0,0,0,0,0,6,0,0,0,1
ENSMUSG00000001029,3,2,4,7,5,5,1,4,1,0,3
ENSMUSG00000001034,585,487,334,327,669,622,551,354,7,34,275
ENSMUSG00000001036,381,381,275,251,463,452,651,356,27,61,394
ENSMUSG00000001039,196,217,156,250,311,276,333,158,11,25,113
ENSMUSG00000001052,184,127,111,55,242,245,151,176,1,4,103
ENSMUSG00000001053,365,297,270,250,476,487,367,268,4,8,167
ENSMUSG00000001054,252,232,185,194,291,275,264,206,6,21,181
ENSMUSG00000001056,1703,1353,1158,1934,1913,1786,1938,971,123,193,625
ENSMUSG00000001062,82,59,55,35,69,64,136,66,1,2,79
ENSMUSG00000001065,64,64,60,31,49,58,48,48,0,6,62
ENSMUSG00000001076,1,1,1,0,1,0,9,1,0,0,4
ENSMUSG00000001082,600,469,446,201,594,844,461,316,2,14,208
ENSMUSG00000001089,1084,881,768,914,1417,1169,1419,834,35,138,908
ENSMUSG00000001095,0,0,0,0,1,0,0,0,0,0,3
ENSMUSG00000001098,130,132,101,84,132,138,170,94,12,22,181
ENSMUSG00000001100,360,308,234,371,473,366,489,298,24,23,177
ENSMUSG00000001103,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001105,1519,1025,1033,908,1899,1493,1852,1155,27,151,1797
ENSMUSG00000001119,0,0,0,2,2,3,4,2,0,3,12
ENSMUSG00000001120,28,30,19,23,51,43,99,20,3,13,55
ENSMUSG00000001123,2,4,3,0,6,2,9,0,0,0,3
ENSMUSG00000001127,328,245,221,197,357,343,406,204,23,52,329
ENSMUSG00000001128,24,33,27,17,32,35,35,15,0,0,23
ENSMUSG00000001131,394,310,260,461,729,643,445,237,15,59,414
ENSMUSG00000001134,375,355,284,235,351,377,427,204,18,61,244
ENSMUSG00000001138,294,219,201,359,489,315,588,223,16,49,193
ENSMUSG00000001143,149,91,94,87,150,130,188,97,12,36,180
ENSMUSG00000001150,1011,946,734,1029,1242,1205,1182,568,22,86,584
ENSMUSG00000001151,1389,1344,1201,914,1601,1126,1751,787,41,124,885
ENSMUSG00000001155,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000001156,46,29,19,24,52,37,53,26,0,6,89
ENSMUSG00000001157,815,573,497,350,1013,838,789,604,12,34,464
ENSMUSG00000001158,2031,1619,1502,1911,2896,2003,4059,1482,103,375,2362
ENSMUSG00000001166,5,4,7,6,9,12,20,8,2,1,15
ENSMUSG00000001168,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001173,127,110,78,49,117,157,133,151,2,5,109
ENSMUSG00000001175,8079,5856,5727,5908,10619,7984,11484,5760,190,743,7047
ENSMUSG00000001211,73,58,40,81,199,151,202,86,4,10,80
ENSMUSG00000001225,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001227,10,6,4,6,4,6,12,6,0,3,21
ENSMUSG00000001228,2018,1700,1544,1293,2832,2306,2802,1247,72,109,982
ENSMUSG00000001229,176,137,133,151,163,202,192,140,5,17,122
ENSMUSG00000001240,5,6,4,11,11,10,23,4,0,0,10
ENSMUSG00000001247,444,272,254,299,523,469,731,395,17,104,917
ENSMUSG00000001248,63,43,59,54,99,67,151,66,3,10,85
ENSMUSG00000001249,1,2,0,1,1,5,9,15,2,2,19
ENSMUSG00000001260,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001270,462,397,360,195,232,243,271,131,80,105,898
ENSMUSG00000001280,2015,1544,1421,1171,2190,2152,2123,1463,72,156,1244
ENSMUSG00000001281,74,83,56,32,46,61,69,26,1,7,12
ENSMUSG00000001285,384,371,300,365,476,392,596,216,36,55,312
ENSMUSG00000001288,1141,1315,925,853,930,972,1187,450,40,63,178
ENSMUSG00000001289,960,858,663,809,1109,1304,1359,671,55,147,880
ENSMUSG00000001300,15,34,11,13,17,33,13,7,2,0,5
ENSMUSG00000001305,611,751,425,509,630,700,881,372,41,82,439
ENSMUSG00000001313,273,284,218,238,295,246,624,213,44,82,525
ENSMUSG00000001323,8,1,6,6,10,6,17,10,0,1,6
ENSMUSG00000001333,1,0,0,0,0,0,3,1,0,0,6
ENSMUSG00000001334,2,0,0,5,3,5,16,7,0,3,59
ENSMUSG00000001348,6,3,6,12,11,4,19,2,0,10,26
ENSMUSG00000001349,2,0,1,0,0,0,0,3,0,1,10
ENSMUSG00000001366,145,113,112,100,167,202,253,150,8,15,153
ENSMUSG00000001376,466,374,278,89,225,483,176,292,2,16,94
ENSMUSG00000001380,1042,658,682,531,791,1010,877,686,18,87,604
ENSMUSG00000001383,2279,1872,1832,2501,2859,2084,3227,1428,98,324,1610
ENSMUSG00000001403,5931,5180,4013,2197,6222,7223,4624,3412,65,177,1826
ENSMUSG00000001415,580,412,406,488,774,547,847,371,18,72,459
ENSMUSG00000001416,5035,4163,3390,4146,5565,6252,5414,3554,87,472,2750
ENSMUSG00000001418,463,368,351,276,528,493,455,293,13,46,402
ENSMUSG00000001419,167,168,126,132,227,213,180,181,2,12,180
ENSMUSG00000001420,79,69,54,85,120,95,137,53,3,19,154
ENSMUSG00000001424,1277,1305,925,1558,1524,1781,2178,841,101,271,1562
ENSMUSG00000001435,225,202,187,264,450,326,265,114,10,36,208
ENSMUSG00000001436,185,151,116,159,215,198,260,115,3,19,60
ENSMUSG00000001440,5160,4501,3486,2428,4524,5853,4257,3134,77,258,1968
ENSMUSG00000001441,1853,1467,1263,1043,2324,2314,2143,1546,18,131,1295
ENSMUSG00000001444,0,0,3,1,2,6,5,3,0,0,3
ENSMUSG00000001445,761,696,559,348,706,938,749,470,4,42,492
ENSMUSG00000001467,1974,1724,1592,1401,2360,2039,3251,1625,126,374,3138
ENSMUSG00000001472,3131,2421,2446,2492,3658,2709,4254,1766,126,436,3107
ENSMUSG00000001473,360,218,219,176,436,615,394,337,8,34,580
ENSMUSG00000001482,720,639,553,848,900,754,1111,408,42,63,513
ENSMUSG00000001493,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000001494,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000001496,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000001497,0,0,0,0,0,3,0,2,0,0,6
ENSMUSG00000001504,41,29,22,12,54,49,20,13,0,0,1
ENSMUSG00000001506,2,0,0,4,1,3,7,0,1,0,2
ENSMUSG00000001507,19,17,10,22,39,35,134,27,12,53,348
ENSMUSG00000001508,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001510,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000001517,510,407,344,460,697,616,852,430,32,58,327
ENSMUSG00000001518,304,266,238,213,320,316,399,235,11,29,247
ENSMUSG00000001520,0,0,0,0,1,0,0,0,0,0,2
ENSMUSG00000001521,412,325,320,113,306,508,229,401,5,14,274
ENSMUSG00000001524,207,233,147,145,265,249,360,117,14,28,197
ENSMUSG00000001525,18338,15580,13123,17424,23329,20538,24205,10705,574,1738,9421
ENSMUSG00000001542,104,62,63,86,123,101,213,127,3,9,76
ENSMUSG00000001552,313,192,197,128,440,390,298,250,9,25,345
ENSMUSG00000001555,22,11,11,7,12,11,31,13,5,11,79
ENSMUSG00000001558,2,5,1,2,4,6,3,2,0,0,5
ENSMUSG00000001566,4,6,4,0,5,1,10,6,0,0,10
ENSMUSG00000001569,425,411,380,510,802,494,929,311,44,87,401
ENSMUSG00000001576,468,413,350,714,955,764,1214,445,29,94,635
ENSMUSG00000001583,40,12,14,21,15,18,29,25,0,2,27
ENSMUSG00000001588,2,2,5,2,5,14,7,0,1,4,23
ENSMUSG00000001604,1301,954,1065,774,1409,1103,1273,656,26,85,294
ENSMUSG00000001622,3,6,3,4,10,0,1,3,0,0,6
ENSMUSG00000001627,3574,2795,2233,1643,2605,2886,3251,1951,45,366,2894
ENSMUSG00000001630,316,226,203,183,350,305,401,213,7,27,301
ENSMUSG00000001632,556,493,364,203,463,681,498,452,12,36,277
ENSMUSG00000001642,4607,3557,3475,2835,5926,4834,5936,2909,43,149,929
ENSMUSG00000001655,55,47,26,46,86,77,141,53,1,19,88
ENSMUSG00000001656,0,1,0,1,2,1,2,4,0,0,0
ENSMUSG00000001657,0,3,0,3,3,2,4,9,0,0,0
ENSMUSG00000001661,0,0,0,5,3,3,9,5,0,0,0
ENSMUSG00000001663,4,2,5,73,74,52,162,72,12,51,230
ENSMUSG00000001665,87,99,88,102,154,98,193,71,11,18,169
ENSMUSG00000001666,1005,840,725,943,1310,1313,1581,773,35,145,984
ENSMUSG00000001670,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001672,1,2,4,0,4,6,11,10,0,1,27
ENSMUSG00000001674,5723,4322,4485,4486,8082,5433,8070,3502,64,635,3504
ENSMUSG00000001687,733,619,550,154,586,796,417,499,14,12,230
ENSMUSG00000001700,34,9,17,27,32,35,55,37,10,12,125
ENSMUSG00000001707,452,404,256,64,212,566,204,370,1,12,165
ENSMUSG00000001729,408,315,277,196,798,825,502,473,7,14,470
ENSMUSG00000001739,1,0,0,1,8,0,1,2,0,0,0
ENSMUSG00000001741,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001750,55,53,50,86,129,91,148,96,9,14,163
ENSMUSG00000001751,10,5,6,25,15,21,40,14,4,14,57
ENSMUSG00000001755,482,380,342,548,570,446,679,240,34,48,311
ENSMUSG00000001761,74,63,27,72,149,326,253,252,1,5,72
ENSMUSG00000001763,34,43,33,37,64,40,140,43,8,12,114
ENSMUSG00000001767,934,861,721,710,1296,880,1243,506,28,86,598
ENSMUSG00000001768,28,32,17,20,37,35,47,36,1,2,23
ENSMUSG00000001773,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000001774,1470,1222,1104,1066,1882,1423,1913,954,34,139,1158
ENSMUSG00000001783,1278,948,881,1033,1653,1513,1722,925,25,120,832
ENSMUSG00000001785,851,770,652,807,884,941,1136,624,31,107,508
ENSMUSG00000001786,229,184,191,180,334,261,358,154,8,51,333
ENSMUSG00000001794,1125,956,851,1941,1947,1590,2231,878,115,264,1558
ENSMUSG00000001802,2,1,1,3,14,11,16,9,0,1,7
ENSMUSG00000001804,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001815,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001819,6,1,3,2,2,2,4,9,0,0,8
ENSMUSG00000001823,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000001827,19,20,10,19,19,16,17,13,4,1,18
ENSMUSG00000001829,619,486,445,978,780,662,1207,466,77,159,775
ENSMUSG00000001833,2382,1851,1866,1798,3657,2455,4257,2170,120,357,3845
ENSMUSG00000001844,441,345,281,394,492,402,560,273,17,72,278
ENSMUSG00000001847,1886,1484,1330,1158,2196,2343,1948,1493,28,122,1546
ENSMUSG00000001855,618,525,450,546,819,724,922,409,21,59,296
ENSMUSG00000001864,46,48,45,26,42,42,153,62,5,38,116
ENSMUSG00000001865,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001870,20,26,20,8,24,44,44,25,1,5,28
ENSMUSG00000001891,139,145,90,86,184,251,124,129,1,14,149
ENSMUSG00000001901,1,0,0,0,1,0,0,0,0,0,1
ENSMUSG00000001909,964,892,780,811,1305,1147,1467,559,33,83,561
ENSMUSG00000001910,1363,1434,1054,1706,1914,1510,2757,855,97,221,1036
ENSMUSG00000001911,7,0,4,22,24,23,61,15,0,2,13
ENSMUSG00000001918,655,464,480,440,659,609,1057,590,19,102,690
ENSMUSG00000001924,4306,4023,3302,4366,5603,4985,7784,2740,233,753,5093
ENSMUSG00000001930,6,13,0,4,8,12,7,11,1,0,5
ENSMUSG00000001942,99,70,56,152,178,127,236,77,6,9,74
ENSMUSG00000001943,55,52,40,79,119,92,73,61,0,2,41
ENSMUSG00000001946,458,382,340,321,486,434,347,185,4,31,113
ENSMUSG00000001948,3,1,4,10,7,6,15,8,1,2,8
ENSMUSG00000001962,357,245,250,289,359,341,435,217,19,50,343
ENSMUSG00000001964,1246,938,809,1203,1755,1550,1587,848,10,87,668
ENSMUSG00000001983,35,38,41,30,55,47,40,20,1,8,22
ENSMUSG00000001985,123,87,67,76,116,203,98,119,2,10,71
ENSMUSG00000001986,0,1,4,0,0,0,3,0,0,0,2
ENSMUSG00000001988,1,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000001995,159,120,122,143,165,188,309,112,4,30,302
ENSMUSG00000001998,175,116,122,241,275,147,436,115,18,39,282
ENSMUSG00000001999,59,64,48,109,141,178,217,97,6,35,203
ENSMUSG00000002006,92,95,61,211,300,304,190,62,3,2,11
ENSMUSG00000002007,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000002010,667,560,538,816,1000,828,1166,500,44,92,641
ENSMUSG00000002012,0,1,0,1,23,5,25,2,0,1,20
ENSMUSG00000002014,632,584,521,940,1127,1045,1311,507,77,133,839
ENSMUSG00000002015,876,733,610,1060,1274,1113,1150,674,22,118,562
ENSMUSG00000002017,390,406,266,498,513,468,695,241,55,64,315
ENSMUSG00000002020,0,0,0,0,0,0,0,2,0,0,4
ENSMUSG00000002028,781,753,767,725,1082,651,1339,528,63,149,1283
ENSMUSG00000002031,281,191,175,242,316,279,358,146,31,46,247
ENSMUSG00000002032,4,2,3,3,0,0,4,4,0,1,1
ENSMUSG00000002033,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002043,78,61,56,148,147,94,312,136,10,29,153
ENSMUSG00000002052,795,868,783,1235,1536,1013,2104,581,117,191,1036
ENSMUSG00000002055,382,320,274,358,559,495,586,293,10,41,264
ENSMUSG00000002057,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002058,125,100,100,125,160,157,239,114,11,18,163
ENSMUSG00000002059,262,205,222,431,404,313,413,182,12,40,262
ENSMUSG00000002064,269,247,200,59,188,363,85,175,0,6,88
ENSMUSG00000002068,1478,1250,981,918,1832,2034,1437,970,21,91,520
ENSMUSG00000002076,1622,1176,1286,1842,2920,1928,2897,1273,46,118,970
ENSMUSG00000002083,237,236,223,169,376,319,280,131,0,7,66
ENSMUSG00000002100,0,3,4,1,1,1,8,2,0,0,4
ENSMUSG00000002102,3619,2839,2882,5037,5398,3567,6450,2329,305,799,3864
ENSMUSG00000002103,136,133,108,180,224,176,343,110,17,42,209
ENSMUSG00000002104,20,20,20,13,12,36,43,14,0,1,10
ENSMUSG00000002105,29,40,36,23,56,48,109,29,1,6,31
ENSMUSG00000002107,42,27,21,127,111,112,160,108,14,28,233
ENSMUSG00000002108,1,2,1,4,1,1,7,3,0,0,3
ENSMUSG00000002109,38,33,26,7,27,28,26,50,1,0,12
ENSMUSG00000002111,0,3,3,0,1,1,10,1,1,1,8
ENSMUSG00000002129,1268,1176,966,1321,1651,1610,1918,951,118,209,957
ENSMUSG00000002147,190,122,108,171,227,223,240,126,10,31,219
ENSMUSG00000002190,17,16,26,34,68,43,77,30,11,27,160
ENSMUSG00000002204,5,3,2,1,4,4,3,0,0,0,0
ENSMUSG00000002205,205,188,127,158,239,233,249,127,5,27,198
ENSMUSG00000002210,159,184,146,201,227,192,383,111,15,33,165
